job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,time.queued,time.running,tags,n_parameters,payload_size,clusters,ncpus,partition,walltime,runtime_median,runtime_mad
1,2026-04-08T09:23:00.798200Z,2026-04-08T09:23:07.991700Z,2026-04-08T09:23:17.440900Z,,,5160185,,jobf831df006978a5ad8628d8367f358f66,,7.19350004196167,9.44920015335083,,1,1,serial,2,serial_std,600,0.5753135,0.0380620485
2,2026-04-08T09:23:00.904800Z,2026-04-08T09:23:07.985800Z,2026-04-08T09:23:16.229400Z,,,5160186,,job88790840b0feb2b353f30bf728e3e2c4,,7.08100008964539,8.2435998916626,,1,10,serial,2,serial_std,600,0.5070145,0.0141284367
3,2026-04-08T09:23:01.013800Z,2026-04-08T09:23:07.985800Z,2026-04-08T09:23:16.256Z,,,5160187,,jobfbbf91df7be127e4421674b7bc7f7f97,,6.97200012207031,8.27020001411438,,1,100,serial,2,serial_std,600,0.508261,0.0147162876
4,2026-04-08T09:23:01.134600Z,2026-04-08T09:23:07.985800Z,2026-04-08T09:23:16.362500Z,,,5160188,,job6a5f7f853e9b9c59e1c83f302bb17eb8,,6.85120010375977,8.37669992446899,,1,1000,serial,2,serial_std,600,0.516858,0.014959434
5,2026-04-08T09:23:01.248600Z,2026-04-08T09:23:07.985600Z,2026-04-08T09:23:17.419100Z,,,5160189,,job747ca49b7595fa36fe3930468da08b13,,6.73699998855591,9.43350005149841,,1,10000,serial,2,serial_std,600,0.5971075,0.0230284845
6,2026-04-08T09:23:01.344900Z,2026-04-08T09:23:07.985600Z,2026-04-08T09:23:16.480200Z,,,5160190,,job54bb917a56902ad6466c4a177be75362,,6.64070010185242,8.49460005760193,,10,1,serial,2,serial_std,600,0.5199725,0.0184146333
7,2026-04-08T09:23:01.450Z,2026-04-08T09:23:07.985600Z,2026-04-08T09:23:16.500700Z,,,5160191,,job69edfbdab35b6f707a40b6837f0148d2,,6.53559994697571,8.51510000228882,,10,10,serial,2,serial_std,600,0.522804,0.0179817141
8,2026-04-08T09:23:01.545Z,2026-04-08T09:23:07.985700Z,2026-04-08T09:23:16.612200Z,,,5160192,,jobc630ddf84e692f37fafd208a63498861,,6.44069981575012,8.62650012969971,,10,100,serial,2,serial_std,600,0.5330415,0.0181448001
9,2026-04-08T09:23:01.632500Z,2026-04-08T09:23:09.360500Z,2026-04-08T09:23:18.253800Z,,,5160193,,job5867088e53b4e5959529ece440672edc,,7.72800016403198,8.89329981803894,,10,1000,serial,2,serial_std,600,0.60147,0.0212115582
10,2026-04-08T09:23:01.734300Z,2026-04-08T09:23:07.985600Z,2026-04-08T09:23:24.228200Z,,,5160194,,joba7be1cdc124566e480b7e3dd4885fa0b,,6.25130009651184,16.2425999641418,,10,10000,serial,2,serial_std,600,1.1853665,0.1519450023
11,2026-04-08T09:23:01.837300Z,2026-04-08T09:23:09.744300Z,2026-04-08T09:23:17.830700Z,,,5160195,,job6ff5808f693c1ea377b3753e791f9ecc,,7.90699982643127,8.08640003204346,,100,1,serial,2,serial_std,600,0.5344505,0.0173138028
12,2026-04-08T09:23:01.940800Z,2026-04-08T09:23:10.068600Z,2026-04-08T09:23:18.276200Z,,,5160196,,jobb3c767573e81f6bf709fffb09edb5b86,,8.12779998779297,8.20760011672974,,100,10,serial,2,serial_std,600,0.5462435,0.0178705191
13,2026-04-08T09:23:02.032Z,2026-04-08T09:23:10.514600Z,2026-04-08T09:23:19.638700Z,,,5160197,,job4413b763c23e7dad6ccf1a4c1ca59664,,8.48259997367859,9.12409996986389,,100,100,serial,2,serial_std,600,0.624803,0.0217771701
14,2026-04-08T09:23:02.132900Z,2026-04-08T09:23:10.956100Z,2026-04-08T09:23:27.003400Z,,,5160198,,job3449112cb30237e78b84b0878d1f89c1,,8.8231999874115,16.0473001003265,,100,1000,serial,2,serial_std,600,1.224829,0.1758445143
15,2026-04-08T09:23:02.231800Z,2026-04-08T09:23:11.366900Z,2026-04-08T09:26:31.682500Z,,,5160199,,job209727badea2434f433f759fe3596523,,9.1350998878479,200.315599918366,,100,10000,serial,2,serial_std,600,19.491811,6.047488335
